date,nuclear_avg_gw,wind_avg_gw,solar_avg_gw,hydro_avg_gw,gas_avg_gw,thermal_avg_gw,storage_avg_gw,others_avg_gw,total_avg_gw
01/01/25,5.77,7.43,15.28,9.14,1.73,134.16,3.14,0.0,172.86
02/01/25,5.85,5.45,14.86,9.88,1.84,138.3,3.24,0.0,175.81
03/01/25,5.77,5.96,15.73,9.91,1.78,141.3,3.28,0.0,179.83
04/01/25,5.78,4.66,15.99,10.3,1.66,141.74,3.3,0.0,180.03
05/01/25,5.95,5.48,14.26,9.25,1.71,138.03,3.28,0.0,175.3
06/01/25,6.12,8.35,15.5,10.14,2.34,139.11,3.35,0.0,182.02
07/01/25,6.15,9.0,15.94,10.46,2.59,141.28,3.37,0.0,186.39
08/01/25,6.15,6.2,16.62,10.11,2.57,143.13,3.33,0.0,185.67
09/01/25,6.15,6.43,16.16,10.4,2.47,144.11,3.38,0.0,186.29
10/01/25,6.15,6.84,14.48,10.77,2.57,147.46,3.41,0.0,188.28
11/01/25,6.16,5.86,12.51,11.54,2.28,146.79,3.32,0.0,184.59
12/01/25,6.17,7.59,12.39,9.49,1.99,138.95,3.66,0.0,176.26
13/01/25,5.89,10.19,11.98,0.0,2.71,139.65,0.0,0.0,179.57
14/01/25,5.86,10.21,13.61,9.28,2.5,132.26,3.24,0.0,173.13
15/01/25,5.84,10.85,13.44,9.96,2.26,133.82,2.72,0.0,174.97
16/01/25,5.79,9.62,14.79,10.46,1.95,137.91,2.82,0.0,179.04
17/01/25,5.52,12.41,15.65,10.1,1.96,139.18,3.21,0.0,183.32
18/01/25,5.81,8.02,14.56,10.57,1.87,143.6,3.41,0.0,183.41
19/01/25,6.1,4.88,14.0,8.98,1.67,141.77,3.39,0.0,176.63
20/01/25,6.2,4.7,14.94,10.03,1.84,144.8,3.43,0.0,182.04
21/01/25,6.22,4.48,16.74,9.91,1.78,146.24,3.4,0.0,185.34
22/01/25,6.25,5.77,16.14,10.18,1.79,146.65,3.39,0.0,186.62
23/01/25,6.23,9.27,16.68,10.37,1.74,141.79,3.37,0.0,186.32
24/01/25,6.1,10.59,17.95,9.94,1.66,141.44,3.32,0.0,188.06
25/01/25,6.05,6.81,18.26,10.3,1.64,144.65,3.35,0.0,188.96
26/01/25,5.8,5.95,18.91,9.12,1.62,136.48,3.34,0.0,178.79
27/01/25,6.15,3.65,18.22,10.29,1.83,145.56,3.36,0.0,186.71
28/01/25,6.18,2.99,17.33,11.23,1.92,148.74,3.35,0.0,191.64
29/01/25,6.18,4.88,17.65,11.09,1.96,150.85,3.38,0.0,192.98
30/01/25,6.1,4.5,16.42,11.03,1.93,152.26,3.37,0.0,192.73
31/01/25,6.01,4.47,16.03,11.84,2.29,152.81,3.36,0.0,193.7
01/02/25,5.91,4.4,16.64,10.53,2.14,151.28,3.33,0.0,190.64
02/02/25,5.89,5.62,18.23,9.51,1.82,143.8,3.32,0.0,183.83
03/02/25,5.89,4.77,17.51,10.78,2.06,149.84,3.33,0.0,189.93
04/02/25,5.88,5.9,18.59,11.06,1.95,150.16,3.3,0.0,193.06
05/02/25,5.91,5.99,18.69,0.0,2.06,150.04,0.0,0.0,193.69
06/02/25,5.94,11.17,19.03,0.0,2.17,147.13,0.0,0.0,194.05
