date,solar_time,solar_nuclear_gw,solar_wind_gw,solar_solar_gw,solar_hydro_gw,solar_gas_gw,solar_thermal_gw,solar_storage_gw,solar_others_gw,nonsolar_time,nonsolar_nuclear_gw,nonsolar_wind_gw,nonsolar_solar_gw,nonsolar_hydro_gw,nonsolar_gas_gw,nonsolar_thermal_gw,nonsolar_storage_gw,nonsolar_others_gw
01/01/25,10:11,5.91,6.29,40.88,8.24,1.74,151.3,3.37,0.0,18:29,5.76,5.97,1.2,18.63,1.77,156.95,3.17,0.0
02/01/25,9:48,5.86,4.37,36.01,10.19,1.74,156.33,3.41,0.0,18:40,6.07,4.74,0.29,23.68,1.67,164.06,3.36,0.0
03/01/25,9:44,5.89,4.47,36.68,11.74,1.64,159.7,3.49,0.0,18:43,5.87,5.29,0.27,24.95,1.54,162.4,3.31,0.0
04/01/25,9:49,5.86,3.37,37.13,10.77,1.68,157.91,3.52,0.0,18:35,5.87,3.92,0.86,24.91,1.77,162.12,3.46,0.0
05/01/25,10:26,5.92,2.64,39.97,8.93,1.69,153.43,3.48,0.0,18:43,6.11,5.38,0.58,19.5,1.76,157.16,3.17,0.0
06/01/25,10:32,6.17,5.12,44.15,8.91,1.94,156.34,3.58,0.0,18:44,6.16,7.19,0.26,23.91,3.99,159.94,3.42,0.0
07/01/25,9:52,6.21,6.9,35.76,14.3,2.54,159.65,3.43,0.0,18:44,6.19,7.33,0.66,22.83,2.69,164.67,3.42,0.0
08/01/25,9:44,6.21,4.69,40.67,12.78,2.5,158.92,3.31,0.0,18:36,6.21,5.11,0.52,22.85,3.54,165.21,3.31,0.0
09/01/25,9:36,6.2,6.35,36.62,13.21,2.35,159.7,3.52,0.0,18:38,6.23,4.82,0.21,24.41,2.59,164.36,3.33,0.0
10/01/25,10:26,6.19,5.16,44.88,9.44,2.81,161.26,3.6,0.0,18:38,6.18,4.54,0.38,23.28,3.09,165.49,3.42,0.0
11/01/25,10:19,6.23,5.33,35.09,14.74,2.68,162.03,3.52,0.0,17:53,6.19,3.61,0.83,24.59,2.3,161.28,3.29,0.0
